Frequency (GHz)	Im(Z(10, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	7.17302e-05	-5.00441e-08	4.03437e-08	-6.93611e-08	1.03534e-05	8.31754e-06	-1.15912e-06	4.12644e-07	-9.29449e-07	-1.15983e-07	7.2769e-05	-1.00124e-07	1.12653e-07	3.82337e-06	1.69732e-06	-1.16526e-06	-7.21676e-07	2.22917e-06	-6.03046e-08	7.74308e-08	7.28031e-05	8.94218e-08	-8.03996e-08	-9.89053e-06	6.59684e-06	3.16936e-07	-8.63622e-06	2.537e-07	-7.69777e-08	2.38451e-07	7.41389e-05	-4.99938e-06	-3.42532e-06	1.68148e-06	-1.9155e-06	-2.59514e-06	-7.17323e-07	-9.01342e-08	-5.30316e-08	6.1572e-08	-0.00010409	3.93073e-06	-3.73737e-07	-7.11835e-07	1.16882e-06	4.01762e-06	-3.22013e-07	2.79624e-07	-3.5964e-07	-4.24575e-05	4.45756e-05	5.63474e-06	4.77796e-06	-7.13448e-06	-8.37078e-08	9.8602e-08	-2.48091e-06	1.34136e-07	4.7728e-07	-2.91955e-05	-6.53379e-05	-1.51006e-06	8.44765e-06	6.05582e-09	-8.83588e-09	2.25335e-07	5.69992e-07	-4.63097e-07	-1.31265e-06	3.67322e-06	-4.04633e-05	-6.37652e-05	-1.69908e-07	1.74057e-07	-2.99817e-07	8.01759e-07	4.13287e-06	4.31417e-06	-3.88445e-06	-1.02303e-05	-0.000134976
0.02	0.00014346	-1.00088e-07	8.06873e-08	-1.38722e-07	2.07068e-05	1.66351e-05	-2.31825e-06	8.25281e-07	-1.8589e-06	-2.31966e-07	0.000145538	-2.00248e-07	2.25306e-07	7.64676e-06	3.39464e-06	-2.33057e-06	-1.44334e-06	4.45834e-06	-1.20609e-07	1.54862e-07	0.000145606	1.78844e-07	-1.60793e-07	-1.97811e-05	1.31937e-05	6.33889e-07	-1.72725e-05	5.07401e-07	-1.53956e-07	4.76903e-07	0.000148278	-9.9988e-06	-6.85066e-06	3.36296e-06	-3.83111e-06	-5.1903e-06	-1.43465e-06	-1.80269e-07	-1.06063e-07	1.23144e-07	-0.00020818	7.86147e-06	-7.47479e-07	-1.42367e-06	2.33766e-06	8.03526e-06	-6.44027e-07	5.5925e-07	-7.19282e-07	-8.49154e-05	8.91516e-05	1.12695e-05	9.55594e-06	-1.4269e-05	-1.67416e-07	1.97204e-07	-4.96183e-06	2.68272e-07	9.54543e-07	-5.83911e-05	-0.000130676	-3.02018e-06	1.68954e-05	1.21116e-08	-1.76718e-08	4.5067e-07	1.13998e-06	-9.26158e-07	-2.62531e-06	7.34644e-06	-8.09267e-05	-0.000127531	-3.39816e-07	3.48113e-07	-5.99634e-07	1.60352e-06	8.26577e-06	8.62834e-06	-7.76894e-06	-2.04606e-05	-0.000269953
0.03	0.000215166	-1.46525e-07	1.18466e-07	-2.07903e-07	3.11996e-05	2.43162e-05	-2.97105e-06	1.4158e-06	-2.92083e-06	-3.56322e-07	0.00021847	-2.99689e-07	3.40067e-07	1.15259e-05	5.13169e-06	-3.86266e-06	-2.20159e-06	6.90806e-06	-1.83312e-07	2.34522e-07	0.000218447	2.74982e-07	-3.08349e-07	-2.91389e-05	1.95774e-05	9.57681e-07	-2.57344e-05	7.62822e-07	-2.3412e-07	7.46044e-07	0.000222388	-1.50346e-05	-1.01543e-05	5.20968e-06	-6.05613e-06	-7.93926e-06	-1.75914e-06	-2.72437e-07	-1.65453e-07	1.83316e-07	-0.000311632	1.2048e-05	-1.16467e-06	-1.81689e-06	3.34146e-06	1.19037e-05	-9.64043e-07	8.38446e-07	-1.079e-06	-0.000127399	0.000133316	1.7386e-05	1.40251e-05	-2.0772e-05	-2.51216e-07	2.94471e-07	-7.49021e-06	3.79165e-07	1.41857e-06	-8.69295e-05	-0.000195757	-3.79458e-06	2.5656e-05	1.55435e-08	-2.87689e-08	5.17488e-07	1.79187e-06	-1.66691e-06	-4.14156e-06	9.96308e-06	-0.000121232	-0.000191562	-5.11465e-07	5.24354e-07	-8.95055e-07	2.40447e-06	1.22797e-05	1.29855e-05	-1.14763e-05	-3.06137e-05	-0.000405208
0.04	0.000286821	-2.01155e-07	1.58676e-07	-2.78287e-07	4.14357e-05	3.23987e-05	-4.4343e-06	1.89196e-06	-3.75247e-06	-4.90066e-07	0.000291269	-3.99528e-07	4.55954e-07	1.56832e-05	6.94156e-06	-4.807e-06	-3.3336e-06	8.96684e-06	-2.41102e-07	3.10581e-07	0.000291244	3.53971e-07	-4.27376e-07	-3.97655e-05	2.58333e-05	1.44901e-06	-3.48131e-05	1.0151e-06	-3.18578e-07	9.52287e-07	0.000296535	-1.99171e-05	-1.40178e-05	6.10073e-06	-7.01847e-06	-1.07162e-05	-2.73058e-06	-3.40231e-07	-2.26829e-07	2.46915e-07	-0.000415144	1.62903e-05	-1.98323e-06	-2.55586e-06	4.61446e-06	1.58778e-05	-1.30685e-06	1.11799e-06	-1.43918e-06	-0.000169261	0.000177783	2.32219e-05	1.89166e-05	-2.81046e-05	-3.32791e-07	3.93625e-07	-9.77091e-06	5.36054e-07	7.31392e-07	-0.000115741	-0.000261166	-5.85951e-06	3.39401e-05	2.38417e-08	-3.39468e-08	7.97982e-07	2.2242e-06	-2.48326e-06	-5.34624e-06	1.33879e-05	-0.00016227	-0.000255313	-6.79134e-07	6.9866e-07	-1.23385e-06	3.35987e-06	1.63747e-05	1.66594e-05	-1.55202e-05	-4.11905e-05	-0.000539677
0.05	0.000358512	-2.51248e-07	1.97884e-07	-3.47915e-07	5.18055e-05	4.03854e-05	-5.50189e-06	2.3988e-06	-4.70368e-06	-6.1476e-07	0.000364111	-4.99329e-07	5.70388e-07	1.96516e-05	8.69992e-06	-6.03806e-06	-4.21325e-06	1.12068e-05	-3.01553e-07	3.8847e-07	0.000364066	4.42153e-07	-5.43039e-07	-4.9711e-05	3.22187e-05	1.83427e-06	-4.35448e-05	1.269e-06	-3.99356e-07	1.19131e-06	0.000370662	-2.48945e-05	-1.7563e-05	7.53035e-06	-8.68846e-06	-1.34402e-05	-3.37125e-06	-4.23597e-07	-2.85251e-07	3.08589e-07	-0.000518727	2.04695e-05	-2.51022e-06	-3.14916e-06	5.74021e-06	1.98188e-05	-1.63582e-06	1.39712e-06	-1.79914e-06	-0.000211511	0.000222182	2.91067e-05	2.36116e-05	-3.50461e-05	-4.15817e-07	4.91966e-07	-1.219e-05	6.69883e-07	7.71491e-07	-0.000144545	-0.000326427	-7.28264e-06	4.24327e-05	2.95025e-08	-4.27176e-08	9.73857e-07	2.77956e-06	-3.19893e-06	-6.6977e-06	1.6519e-05	-0.000202869	-0.000319184	-8.49161e-07	8.73535e-07	-1.54873e-06	4.21802e-06	2.04493e-05	2.0745e-05	-1.9395e-05	-5.15407e-05	-0.000674576
0.06	0.000430253	-2.97652e-07	2.41719e-07	-4.17267e-07	6.21853e-05	4.89196e-05	-6.38192e-06	2.62189e-06	-5.80555e-06	-7.11933e-07	0.000436861	-5.94338e-07	6.68131e-07	2.31993e-05	1.03829e-05	-7.43625e-06	-4.60655e-06	1.33102e-05	-3.54754e-07	4.69356e-07	0.000436994	5.23057e-07	-4.42588e-07	-5.95346e-05	3.90823e-05	2.26212e-06	-5.21101e-05	1.52383e-06	-4.65798e-07	1.43809e-06	0.00044481	-2.98848e-05	-2.10839e-05	9.57137e-06	-1.01457e-05	-1.57179e-05	-3.73023e-06	-5.97206e-07	-3.22437e-07	3.71323e-07	-0.000622781	2.41834e-05	-2.55045e-06	-3.97063e-06	6.77854e-06	2.39326e-05	-1.93658e-06	1.67425e-06	-2.15792e-06	-0.00025397	0.000266565	3.43829e-05	2.82027e-05	-4.21335e-05	-5.04261e-07	5.88137e-07	-1.46572e-05	8.2656e-07	1.99021e-06	-0.00017405	-0.000391757	-8.6365e-06	5.08492e-05	3.73222e-08	-5.61334e-08	1.04793e-06	3.38506e-06	-3.55176e-06	-7.8434e-06	1.97986e-05	-0.000243011	-0.000382785	-1.02245e-06	1.04674e-06	-1.66325e-06	5.03578e-06	2.4763e-05	2.49156e-05	-2.32916e-05	-6.17747e-05	-0.00080989
0.07	0.000501995	-3.44056e-07	2.85554e-07	-4.86619e-07	7.25655e-05	5.74539e-05	-7.262e-06	2.84501e-06	-6.90743e-06	-8.09107e-07	0.000509612	-6.89347e-07	7.65874e-07	2.67471e-05	1.2066e-05	-8.83453e-06	-4.99977e-06	1.54137e-05	-4.07955e-07	5.50244e-07	0.000509923	6.03962e-07	-3.4212e-07	-6.93584e-05	4.5946e-05	2.68997e-06	-6.06757e-05	1.77866e-06	-5.32242e-07	1.68488e-06	0.00051896	-3.48754e-05	-2.4605e-05	1.16123e-05	-1.16034e-05	-1.79957e-05	-4.08921e-06	-7.70815e-07	-3.59622e-07	4.34058e-07	-0.000726836	2.78974e-05	-2.59068e-06	-4.79209e-06	7.8169e-06	2.80465e-05	-2.23735e-06	1.95138e-06	-2.51671e-06	-0.000296432	0.000310951	3.96593e-05	3.2794e-05	-4.92212e-05	-5.92707e-07	6.84309e-07	-1.71244e-05	9.8324e-07	3.20882e-06	-0.000203556	-0.000457091	-9.99038e-06	5.9266e-05	4.51415e-08	-6.95493e-08	1.122e-06	3.99056e-06	-3.90451e-06	-8.9893e-06	2.30781e-05	-0.000283154	-0.000446388	-1.19574e-06	1.21994e-06	-1.77777e-06	5.85354e-06	2.90768e-05	2.90863e-05	-2.71884e-05	-7.20088e-05	-0.000945207
0.08	0.000573723	-3.80895e-07	3.27068e-07	-5.55888e-07	8.3024e-05	6.57801e-05	-8.5597e-06	3.45839e-06	-7.80662e-06	-9.32002e-07	0.000582342	-7.92752e-07	8.89292e-07	3.07523e-05	1.38253e-05	-9.88636e-06	-5.79256e-06	1.75489e-05	-4.73207e-07	6.28731e-07	0.00058276	7.0468e-07	-5.18097e-07	-7.89934e-05	5.23482e-05	2.89165e-06	-6.92873e-05	2.03272e-06	-6.08484e-07	1.93107e-06	0.000593059	-4.00624e-05	-2.79492e-05	1.26937e-05	-1.39854e-05	-2.08861e-05	-4.80358e-06	-8.46948e-07	-4.15236e-07	4.93482e-07	-0.000830339	3.26491e-05	-2.71958e-06	-5.34289e-06	8.76849e-06	3.19491e-05	-2.57658e-06	2.2277e-06	-2.87903e-06	-0.000339129	0.000356322	4.53137e-05	3.76779e-05	-5.60231e-05	-6.72501e-07	7.74743e-07	-1.95406e-05	1.09929e-06	3.71575e-06	-0.000232795	-0.000522462	-1.15026e-05	6.74334e-05	4.6365e-08	-8.10469e-08	1.34843e-06	4.64459e-06	-4.66941e-06	-1.04711e-05	2.65618e-05	-0.000323508	-0.000510477	-1.36812e-06	1.39205e-06	-2.35251e-06	6.59987e-06	3.30956e-05	3.35433e-05	-3.10507e-05	-8.26048e-05	-0.00108005
0.09	0.00064547	-4.05365e-07	3.70465e-07	-6.2511e-07	9.35634e-05	7.42379e-05	-1.00685e-05	4.23131e-06	-8.64526e-06	-1.06181e-06	0.000655013	-8.99444e-07	1.02348e-06	3.48951e-05	1.56161e-05	-1.07736e-05	-6.62984e-06	1.96085e-05	-5.42856e-07	7.07767e-07	0.00065561	8.16702e-07	-7.89625e-07	-8.84143e-05	5.86375e-05	2.95441e-06	-7.78586e-05	2.2869e-06	-6.83272e-07	2.18183e-06	0.000667152	-4.54249e-05	-3.11707e-05	1.33062e-05	-1.69269e-05	-2.40225e-05	-5.60624e-06	-9.09081e-07	-4.71966e-07	5.51084e-07	-0.000933577	3.80447e-05	-2.63253e-06	-5.79699e-06	9.57145e-06	3.57747e-05	-2.93102e-06	2.50173e-06	-3.24375e-06	-0.000382136	0.000402517	5.09228e-05	4.27229e-05	-6.26408e-05	-7.48394e-07	8.57023e-07	-2.19252e-05	1.19771e-06	4.38655e-06	-0.00026222	-0.000587937	-1.30974e-05	7.53381e-05	4.35601e-08	-9.40054e-08	1.62098e-06	5.37084e-06	-5.60961e-06	-1.21012e-05	3.0178e-05	-0.000363772	-0.000574838	-1.54213e-06	1.56219e-06	-3.1916e-06	7.27445e-06	3.70194e-05	3.82321e-05	-3.49031e-05	-9.34781e-05	-0.00121478
