Frequency (GHz)	Im(Z(10, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(10, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(11, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(12, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(13, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(14, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(15, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(16, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(17, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 1)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 2)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 3)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 4)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 5)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 6)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 7)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 8)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports	Im(Z(18, 9)) : 4Q_triangle_lattice_v3_flux_lines_internal_ports
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	7.16833e-05	-4.76281e-08	4.26521e-08	-6.95241e-08	-9.24539e-06	8.55883e-06	-9.61573e-07	5.38691e-07	1.18937e-06	-1.24536e-07	7.27323e-05	-1.06953e-07	1.19377e-07	-3.85803e-06	1.83571e-06	-1.28313e-06	-4.63958e-07	-2.37235e-06	-6.13289e-08	7.92115e-08	7.27935e-05	8.61553e-08	1.43856e-07	-9.89603e-06	6.43505e-06	2.51511e-07	8.12795e-06	2.5248e-07	-7.92982e-08	2.37651e-07	7.41149e-05	4.72506e-06	-3.50027e-06	1.47199e-06	-1.89999e-06	2.38338e-06	-7.38335e-07	-8.2923e-08	-5.70402e-08	6.15339e-08	0.000124766	3.92269e-06	-1.24187e-07	-5.43208e-07	-1.00894e-06	4.16536e-06	-3.16393e-07	2.77346e-07	-3.5929e-07	4.02801e-05	4.43576e-05	5.65043e-06	4.62527e-06	7.1484e-06	-8.5104e-08	9.63407e-08	-2.4688e-06	1.21418e-07	-5.60411e-07	-2.84247e-05	-6.62897e-05	-1.48012e-06	-8.848e-06	5.96776e-09	-9.60597e-09	1.99741e-07	3.91155e-07	6.66657e-07	-1.21447e-06	3.45006e-06	-4.08e-05	6.56947e-05	-1.70599e-07	1.74174e-07	-3.66968e-07	8.9464e-07	-4.07635e-06	4.21371e-06	-4.2062e-06	-1.06862e-05	0.000131101
0.02	0.000143367	-9.52564e-08	8.53043e-08	-1.39048e-07	-1.84908e-05	1.71177e-05	-1.92313e-06	1.07739e-06	2.37872e-06	-2.49073e-07	0.000145465	-2.13906e-07	2.38754e-07	-7.71609e-06	3.67141e-06	-2.56628e-06	-9.27896e-07	-4.74472e-06	-1.22658e-07	1.58423e-07	0.000145587	1.72311e-07	2.87707e-07	-1.97921e-05	1.28701e-05	5.03018e-07	1.62559e-05	5.04961e-07	-1.58597e-07	4.75304e-07	0.00014823	9.45015e-06	-7.00059e-06	2.94399e-06	-3.79994e-06	4.76681e-06	-1.47667e-06	-1.65845e-07	-1.1408e-07	1.23068e-07	0.000249532	7.8454e-06	-2.4836e-07	-1.08641e-06	-2.01789e-06	8.33073e-06	-6.32787e-07	5.54692e-07	-7.18581e-07	8.05605e-05	8.87155e-05	1.13009e-05	9.25057e-06	1.42969e-05	-1.70208e-07	1.92682e-07	-4.93761e-06	2.42836e-07	-1.12083e-06	-5.68497e-05	-0.00013258	-2.96025e-06	-1.76961e-05	1.19355e-08	-1.9212e-08	3.99483e-07	7.82311e-07	1.3333e-06	-2.42896e-06	6.90014e-06	-8.16001e-05	0.00013139	-3.41197e-07	3.48347e-07	-7.33936e-07	1.78928e-06	-8.15273e-06	8.42746e-06	-8.41239e-06	-2.13725e-05	0.000262201
0.03	0.000214829	-1.40046e-07	1.31468e-07	-2.10322e-07	-2.83069e-05	2.56773e-05	-2.63279e-06	1.50528e-06	3.20656e-06	-3.75996e-07	0.000218235	-3.21814e-07	3.5898e-07	-1.16732e-05	5.53539e-06	-4.10555e-06	-1.71953e-06	-6.69599e-06	-1.77841e-07	2.36824e-07	0.000218498	2.60674e-07	4.44751e-07	-2.92546e-05	1.91662e-05	9.45298e-07	2.37933e-05	7.57562e-07	-2.2565e-07	7.13054e-07	0.000222422	1.41859e-05	-1.04821e-05	4.45579e-06	-5.28545e-06	7.569e-06	-1.92025e-06	-3.06515e-07	-1.64575e-07	1.84146e-07	0.000375016	1.26392e-05	-9.72323e-07	-2.14138e-06	-3.13388e-06	1.2042e-05	-9.59251e-07	8.2538e-07	-1.07716e-06	0.000120692	0.000133415	1.66218e-05	1.41047e-05	2.15534e-05	-2.55872e-07	2.90577e-07	-7.42181e-06	3.90924e-07	-2.14987e-06	-8.54553e-05	-0.000198392	-4.53572e-06	-2.59661e-05	1.79507e-08	-2.60833e-08	7.48719e-07	1.1744e-06	2.29112e-06	-3.52811e-06	1.03484e-05	-0.00012286	0.000196454	-5.15838e-07	5.22238e-07	-8.47038e-07	2.68088e-06	-1.2222e-05	1.23503e-05	-1.26186e-05	-3.20568e-05	0.00039263
0.04	0.000286617	-1.88247e-07	1.68186e-07	-2.81613e-07	-3.68199e-05	3.39877e-05	-3.60488e-06	1.77669e-06	4.44423e-06	-5.0152e-07	0.000290917	-4.28368e-07	4.69165e-07	-1.5641e-05	7.63717e-06	-5.17506e-06	-2.51726e-06	-9.46582e-06	-2.43476e-07	3.16216e-07	0.000291296	3.44354e-07	4.48302e-07	-4.03058e-05	2.53151e-05	5.81553e-07	3.25183e-05	1.00918e-06	-3.00339e-07	9.51763e-07	0.000296389	1.89021e-05	-1.40898e-05	5.74281e-06	-8.21839e-06	1.0296e-05	-2.86646e-06	-3.36981e-07	-2.2012e-07	2.39942e-07	0.000498968	1.66051e-05	-1.08516e-06	-2.30543e-06	-4.54374e-06	1.62863e-05	-1.27854e-06	1.10379e-06	-1.43888e-06	0.000161131	0.000176954	2.1983e-05	1.83236e-05	2.85343e-05	-3.44766e-07	3.89191e-07	-9.95163e-06	5.36916e-07	-2.10486e-06	-0.000115073	-0.000265113	-5.87206e-06	-3.50151e-05	2.26631e-08	-4.08064e-08	9.53266e-07	1.52852e-06	2.84066e-06	-4.42734e-06	1.41222e-05	-0.00016258	0.000265386	-6.82692e-07	6.96131e-07	-1.1732e-06	3.40802e-06	-1.66719e-05	1.66938e-05	-1.66604e-05	-4.25837e-05	0.00052503
0.05	0.000358248	-2.34903e-07	2.0998e-07	-3.52443e-07	-4.60423e-05	4.24657e-05	-4.45186e-06	2.16642e-06	5.48962e-06	-6.27182e-07	0.000363645	-5.35507e-07	5.85762e-07	-1.95732e-05	9.5739e-06	-6.47535e-06	-3.2243e-06	-1.18257e-05	-3.03719e-07	3.95155e-07	0.000364151	4.3042e-07	5.47655e-07	-5.0474e-05	3.15901e-05	6.73876e-07	4.05943e-05	1.26137e-06	-3.73077e-07	1.18988e-06	0.000370477	2.36278e-05	-1.76304e-05	7.15917e-06	-1.03503e-05	1.29879e-05	-3.55469e-06	-4.21666e-07	-2.73976e-07	2.99376e-07	0.000623727	2.09192e-05	-1.40553e-06	-2.89652e-06	-5.7377e-06	2.02902e-05	-1.6003e-06	1.37901e-06	-1.79846e-06	0.000201447	0.000221156	2.73583e-05	2.29106e-05	3.56826e-05	-4.31318e-07	4.86808e-07	-1.24561e-05	6.75415e-07	-2.58967e-06	-0.000144081	-0.000331348	-7.33519e-06	-4.36959e-05	2.811e-08	-5.13223e-08	1.22141e-06	1.90924e-06	3.58377e-06	-5.50071e-06	1.76569e-05	-0.000203154	0.000332009	-8.53322e-07	8.70014e-07	-1.42523e-06	4.23106e-06	-2.0889e-05	2.0831e-05	-2.07726e-05	-5.31994e-05	0.00065631
0.06	0.000429909	-2.96262e-07	2.55883e-07	-4.2355e-07	-5.58399e-05	5.15129e-05	-5.02749e-06	2.83216e-06	6.47159e-06	-7.56619e-07	0.00043637	-6.39632e-07	7.11535e-07	-2.34126e-05	1.12871e-05	-7.75455e-06	-2.89753e-06	-1.44679e-05	-3.56556e-07	4.75098e-07	0.000437272	5.17816e-07	7.92546e-07	-6.03183e-05	3.82188e-05	8.67085e-07	4.83085e-05	1.51306e-06	-4.60829e-07	1.42942e-06	0.000444609	2.83539e-05	-2.12057e-05	9.01514e-06	-1.19917e-05	1.52554e-05	-4.13214e-06	-5.63402e-07	-3.2821e-07	3.64104e-07	0.000749759	2.52259e-05	-1.80619e-06	-3.45308e-06	-6.55226e-06	2.41911e-05	-1.9254e-06	1.65913e-06	-2.15115e-06	0.000242215	0.000266919	3.23353e-05	2.81986e-05	4.2781e-05	-5.15894e-07	5.77104e-07	-1.5237e-05	7.91398e-07	-2.66107e-06	-0.000173489	-0.000397151	-9.1201e-06	-5.31904e-05	3.30735e-08	-6.00276e-08	1.44628e-06	2.25711e-06	4.57751e-06	-7.43142e-06	2.08989e-05	-0.000244521	0.000395632	-1.01501e-06	1.04366e-06	-1.7328e-06	5.12183e-06	-2.50165e-05	2.50958e-05	-2.4785e-05	-6.41691e-05	0.000786225
0.07	0.000501571	-3.57624e-07	3.01787e-07	-4.94657e-07	-6.56377e-05	6.05604e-05	-5.60307e-06	3.49793e-06	7.45358e-06	-8.86056e-07	0.000509097	-7.43758e-07	8.3731e-07	-2.7252e-05	1.30003e-05	-9.03379e-06	-2.57068e-06	-1.71103e-05	-4.09392e-07	5.55041e-07	0.000510394	6.05213e-07	1.03739e-06	-7.01626e-05	4.48476e-05	1.06027e-06	5.60228e-05	1.76474e-06	-5.48584e-07	1.66898e-06	0.000518742	3.30803e-05	-2.47812e-05	1.08712e-05	-1.36332e-05	1.75231e-05	-4.70958e-06	-7.05128e-07	-3.82445e-07	4.28831e-07	0.000875793	2.95325e-05	-2.20687e-06	-4.00987e-06	-7.36695e-06	2.80921e-05	-2.25051e-06	1.93925e-06	-2.50385e-06	0.000282985	0.000312685	3.73124e-05	3.34868e-05	4.98799e-05	-6.00472e-07	6.67402e-07	-1.8018e-05	9.07383e-07	-2.7325e-06	-0.000202898	-0.000462957	-1.09051e-05	-6.26853e-05	3.80377e-08	-6.87329e-08	1.67116e-06	2.60499e-06	5.57119e-06	-9.36201e-06	2.41409e-05	-0.000285889	0.000459256	-1.1767e-06	1.21732e-06	-2.04036e-06	6.01261e-06	-2.9144e-05	2.93608e-05	-2.87974e-05	-7.5139e-05	0.000916142
0.08	0.000573197	-3.99714e-07	3.40009e-07	-5.64068e-07	-7.49879e-05	6.89231e-05	-6.57878e-06	3.8663e-06	8.46169e-06	-1.00982e-06	0.00058184	-8.52396e-07	9.56451e-07	-3.09916e-05	1.47231e-05	-1.02804e-05	-3.79259e-06	-1.92603e-05	-4.73463e-07	6.2993e-07	0.000583145	6.94224e-07	1.17271e-06	-8.01493e-05	5.11833e-05	1.5534e-06	6.36248e-05	2.01819e-06	-6.2394e-07	1.90527e-06	0.000592881	3.7806e-05	-2.83454e-05	1.1971e-05	-1.58307e-05	2.02696e-05	-5.34863e-06	-8.89012e-07	-4.4174e-07	4.90614e-07	0.000999777	3.37042e-05	-1.9821e-06	-4.4007e-06	-8.36616e-06	3.22776e-05	-2.56411e-06	2.21591e-06	-2.8627e-06	0.000323516	0.000356138	4.29599e-05	3.80052e-05	5.75274e-05	-6.84808e-07	7.67685e-07	-2.03073e-05	1.04851e-06	-3.30083e-06	-0.000231491	-0.000529183	-1.21035e-05	-7.05991e-05	4.40623e-08	-7.92118e-08	2.01247e-06	3.11632e-06	6.06123e-06	-1.04054e-05	2.70469e-05	-0.000326263	0.000525825	-1.35364e-06	1.39057e-06	-2.51594e-06	6.78828e-06	-3.31858e-05	3.33001e-05	-3.25842e-05	-8.53718e-05	0.00104743
0.09	0.000644811	-4.36917e-07	3.73959e-07	-6.32967e-07	-8.43521e-05	7.7086e-05	-7.67137e-06	4.13318e-06	9.40756e-06	-1.13284e-06	0.000654599	-9.62723e-07	1.07536e-06	-3.46001e-05	1.63248e-05	-1.14816e-05	-5.70502e-06	-2.12022e-05	-5.417e-07	7.0069e-07	0.000655795	7.86097e-07	1.30592e-06	-9.01346e-05	5.74759e-05	2.34126e-06	7.08656e-05	2.27277e-06	-6.98196e-07	2.14002e-06	0.00066707	4.25346e-05	-3.19428e-05	1.27206e-05	-1.82495e-05	2.32174e-05	-5.95183e-06	-1.17388e-06	-5.04801e-07	5.52754e-07	0.00112293	3.78661e-05	-1.40867e-06	-4.6278e-06	-9.30872e-06	3.65933e-05	-2.87184e-06	2.49272e-06	-3.222e-06	0.000364215	0.000398696	4.88129e-05	4.23555e-05	6.56173e-05	-7.68393e-07	8.71927e-07	-2.23868e-05	1.20938e-06	-3.96714e-06	-0.00025989	-0.000595487	-1.30228e-05	-7.77061e-05	5.04971e-08	-9.02174e-08	2.44447e-06	3.74303e-06	6.31955e-06	-1.1271e-05	2.94774e-05	-0.000366277	0.000593102	-1.53711e-06	1.56321e-06	-3.15026e-06	7.48928e-06	-3.71379e-05	3.7034e-05	-3.60701e-05	-9.52037e-05	0.00117901
