Frequency (GHz)	Im(Z(10, 1)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(10, 2)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(10, 3)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(10, 4)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(10, 5)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(10, 6)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(10, 7)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(10, 8)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(10, 9)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(11, 1)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(11, 2)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(11, 3)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(11, 4)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(11, 5)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(11, 6)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(11, 7)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(11, 8)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(11, 9)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(12, 1)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(12, 2)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(12, 3)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(12, 4)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(12, 5)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(12, 6)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(12, 7)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(12, 8)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(12, 9)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(13, 1)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(13, 2)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(13, 3)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(13, 4)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(13, 5)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(13, 6)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(13, 7)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(13, 8)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(13, 9)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(14, 1)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(14, 2)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(14, 3)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(14, 4)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(14, 5)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(14, 6)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(14, 7)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(14, 8)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(14, 9)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(15, 1)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(15, 2)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(15, 3)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(15, 4)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(15, 5)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(15, 6)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(15, 7)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(15, 8)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(15, 9)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(16, 1)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(16, 2)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(16, 3)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(16, 4)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(16, 5)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(16, 6)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(16, 7)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(16, 8)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(16, 9)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(17, 1)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(17, 2)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(17, 3)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(17, 4)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(17, 5)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(17, 6)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(17, 7)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(17, 8)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(17, 9)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(18, 1)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(18, 2)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(18, 3)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(18, 4)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(18, 5)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(18, 6)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(18, 7)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(18, 8)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34	Im(Z(18, 9)) : 4Q_triangle_lattice_v3_flux_lines_test_c12_c34
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	7.16817e-05	-4.71666e-08	4.14291e-08	-6.99186e-08	1.02588e-05	8.15082e-06	-1.1355e-06	4.03001e-07	-0.000123025	-1.21943e-07	7.27145e-05	-1.04e-07	1.15979e-07	3.85912e-06	1.81157e-06	-1.44784e-06	-6.30066e-07	-9.22962e-05	-5.92692e-08	7.74134e-08	7.27855e-05	8.76804e-08	-1.40954e-07	-9.85182e-06	6.7578e-06	5.12498e-07	0.000250912	2.55314e-07	-7.5371e-08	2.43545e-07	7.41582e-05	-5.05573e-06	-3.47133e-06	1.63205e-06	-1.71625e-06	5.47362e-05	-6.68365e-07	-7.22179e-08	-5.77664e-08	6.16659e-08	-0.000103677	3.78947e-06	-4.28741e-07	-4.96033e-07	-2.87539e-05	4.14673e-06	-3.17172e-07	2.80702e-07	-3.60025e-07	-4.24956e-05	4.43074e-05	5.94006e-06	4.77669e-06	-0.000495695	-8.30665e-08	9.51486e-08	-2.53162e-06	1.32361e-07	3.368e-07	-2.83399e-05	-6.63102e-05	-1.56166e-06	0.000343785	8.76048e-09	-1.41591e-08	2.50443e-07	5.99471e-07	-8.03153e-07	-1.59248e-06	4.02636e-06	-3.93685e-05	0.000250906	1.23147e-07	-1.14645e-07	1.13823e-06	-9.74013e-08	-3.46251e-06	-4.38521e-06	3.78584e-06	-6.536e-07	0.000499054
0.02	0.000143364	-9.43333e-08	8.28584e-08	-1.39837e-07	2.05177e-05	1.63017e-05	-2.27099e-06	8.05995e-07	-0.000123025	-2.43886e-07	0.000145429	-2.08001e-07	2.31959e-07	7.71826e-06	3.62313e-06	-2.89567e-06	-1.26014e-06	-9.22962e-05	-1.18538e-07	1.54827e-07	0.000145571	1.75361e-07	-2.81913e-07	-1.97037e-05	1.35156e-05	1.02501e-06	0.000250912	5.10628e-07	-1.50741e-07	4.87092e-07	0.000148317	-1.01115e-05	-6.94268e-06	3.26412e-06	-3.43255e-06	5.47362e-05	-1.33673e-06	-1.44435e-07	-1.15533e-07	1.23332e-07	-0.000207354	7.57894e-06	-8.57516e-07	-9.92073e-07	-2.87539e-05	8.29347e-06	-6.34346e-07	5.61405e-07	-7.2005e-07	-8.49916e-05	8.86151e-05	1.18802e-05	9.55343e-06	-0.000495696	-1.66133e-07	1.90298e-07	-5.06324e-06	2.64723e-07	6.73588e-07	-5.668e-05	-0.000132621	-3.1233e-06	0.000343786	1.75209e-08	-2.83183e-08	5.00887e-07	1.19894e-06	-1.60629e-06	-3.18493e-06	8.05276e-06	-7.87372e-05	0.000250906	2.46294e-07	-2.29289e-07	2.27646e-06	-1.94803e-07	-6.925e-06	-8.77044e-06	7.57171e-06	-1.30721e-06	0.000499054
0.03	0.000214825	-1.40054e-07	1.28167e-07	-2.09817e-07	3.10397e-05	2.45154e-05	-3.24169e-06	1.41404e-06	-0.000184622	-3.68524e-07	0.00021825	-3.13328e-07	3.45981e-07	1.16924e-05	5.33566e-06	-4.16245e-06	-1.60989e-06	-0.00013806	-1.74223e-07	2.3178e-07	0.000218413	2.55647e-07	-3.42971e-07	-2.92676e-05	2.02125e-05	1.54014e-06	0.000376823	7.65372e-07	-2.22555e-07	7.20953e-07	0.000222428	-1.50336e-05	-1.03425e-05	4.95903e-06	-5.2702e-06	8.18556e-05	-2.13763e-06	-2.6701e-07	-1.66888e-07	1.84762e-07	-0.000311444	1.21666e-05	-2.27309e-06	-1.7439e-06	-4.29644e-05	1.21044e-05	-9.58899e-07	8.32963e-07	-1.07971e-06	-0.000126658	0.000133631	1.80069e-05	1.42326e-05	-0.000743954	-2.51246e-07	2.85669e-07	-7.41127e-06	3.92119e-07	1.68562e-06	-8.47712e-05	-0.000198315	-4.62799e-06	0.000516275	2.39985e-08	-4.3146e-08	7.48009e-07	1.80575e-06	-2.65869e-06	-4.43625e-06	1.21536e-05	-0.000117841	0.000375614	3.65876e-07	-3.42447e-07	3.45158e-06	-3.01302e-07	-9.81551e-06	-1.34884e-05	1.17288e-05	-1.89082e-06	0.000749133
0.04	0.000286627	-1.85769e-07	1.69309e-07	-2.78784e-07	4.04937e-05	3.27455e-05	-4.69816e-06	1.43039e-06	-0.00030362	-4.89056e-07	0.000290865	-4.17496e-07	4.65579e-07	1.60346e-05	7.26031e-06	-5.08242e-06	-3.13808e-06	-0.000227477	-2.37575e-07	3.12193e-07	0.000291228	3.57977e-07	-3.80457e-07	-4.00648e-05	2.66872e-05	1.48047e-06	0.000619272	1.019e-06	-2.96483e-07	1.00098e-06	0.000296475	-1.99601e-05	-1.42682e-05	6.26966e-06	-7.28484e-06	0.000134724	-2.86578e-06	-4.00128e-07	-2.23215e-07	2.5434e-07	-0.000415431	1.56874e-05	-2.01509e-06	-2.22268e-06	-7.05996e-05	1.61981e-05	-1.27662e-06	1.10409e-06	-1.43779e-06	-0.000170385	0.000177492	2.41705e-05	1.88914e-05	-0.00122342	-3.31808e-07	3.73474e-07	-9.83175e-06	5.19051e-07	1.50306e-06	-0.000114071	-0.000265412	-5.74212e-06	0.000849867	3.51477e-08	-5.36462e-08	8.38163e-07	2.32305e-06	-3.04607e-06	-7.51075e-06	1.60319e-05	-0.000157336	0.000619382	4.92567e-07	-4.58528e-07	4.54125e-06	-5.27432e-07	-1.3079e-05	-1.7799e-05	1.53425e-05	-2.60487e-06	0.00123325
0.05	0.000358262	-2.31752e-07	2.12262e-07	-3.48411e-07	5.05772e-05	4.09493e-05	-5.87233e-06	1.7733e-06	-0.000307458	-6.11427e-07	0.000363586	-5.21995e-07	5.82113e-07	2.00974e-05	9.06319e-06	-6.27724e-06	-3.99889e-06	-0.000230336	-2.96735e-07	3.90417e-07	0.00036405	4.48077e-07	-4.52487e-07	-5.01349e-05	3.33218e-05	1.77336e-06	0.000627104	1.27345e-06	-3.69915e-07	1.25392e-06	0.000370566	-2.4911e-05	-1.78675e-05	7.81722e-06	-9.13596e-06	0.000136407	-3.59619e-06	-5.09432e-07	-2.77872e-07	3.18546e-07	-0.000519371	1.97328e-05	-2.56492e-06	-2.8194e-06	-7.14725e-05	2.01842e-05	-1.59745e-06	1.37803e-06	-1.7969e-06	-0.000213055	0.000221913	3.02315e-05	2.36e-05	-0.0012389	-4.1472e-07	4.6625e-07	-1.22586e-05	6.4704e-07	1.91924e-06	-0.000142686	-0.000331704	-7.11987e-06	0.000860694	4.36692e-08	-6.66613e-08	1.03745e-06	2.89579e-06	-3.79355e-06	-9.51463e-06	2.00601e-05	-0.000196613	0.000627222	6.15707e-07	-5.73156e-07	5.67872e-06	-6.70776e-07	-1.62176e-05	-2.22782e-05	1.92045e-05	-3.25818e-06	0.00124893
0.06	0.000429921	-2.9356e-07	2.55311e-07	-4.18942e-07	6.1438e-05	4.89404e-05	-7.03685e-06	2.50781e-06	-0.000379423	-7.42691e-07	0.000436387	-6.27848e-07	7.07006e-07	2.37439e-05	1.08681e-05	-8.40348e-06	-4.80177e-06	-0.000283878	-3.51639e-07	4.6747e-07	0.000436808	5.24837e-07	-9.24807e-07	-5.93407e-05	4.04503e-05	2.22044e-06	0.000774358	1.52912e-06	-4.42674e-07	1.49002e-06	0.000444754	-3.00169e-05	-2.09841e-05	9.6593e-06	-1.01533e-05	0.000167976	-4.01734e-06	-6.30264e-07	-3.32264e-07	3.78704e-07	-0.000622906	2.41703e-05	-2.7885e-06	-3.8061e-06	-8.84222e-05	2.42071e-05	-1.92452e-06	1.66547e-06	-2.15592e-06	-0.000256649	0.000267154	3.53869e-05	2.86238e-05	-0.00152811	-4.98942e-07	5.60703e-07	-1.49759e-05	7.74913e-07	2.11936e-06	-0.00017114	-0.00039631	-8.97821e-06	0.00106165	5.07669e-08	-8.01358e-08	1.39255e-06	3.46245e-06	-4.62529e-06	-1.08094e-05	2.51026e-05	-0.000235033	0.000773879	7.35308e-07	-6.86884e-07	6.83391e-06	-7.75263e-07	-1.97437e-05	-2.60569e-05	2.30429e-05	-4.00503e-06	0.00153958
0.07	0.000501581	-3.55371e-07	2.9836e-07	-4.89473e-07	7.22989e-05	5.69316e-05	-8.20132e-06	3.2424e-06	-0.000430827	-8.73954e-07	0.000509188	-7.33703e-07	8.31901e-07	2.73904e-05	1.26731e-05	-1.05297e-05	-5.60471e-06	-0.000322122	-4.06542e-07	5.44524e-07	0.000509567	6.01596e-07	-1.39711e-06	-6.85466e-05	4.7579e-05	2.66749e-06	0.000879541	1.7848e-06	-5.15436e-07	1.72614e-06	0.000518944	-3.51229e-05	-2.41011e-05	1.15017e-05	-1.11709e-05	0.000190525	-4.4385e-06	-7.51098e-07	-3.86657e-07	4.38863e-07	-0.000726444	2.86078e-05	-3.01217e-06	-4.79291e-06	-0.000100529	2.82301e-05	-2.25159e-06	1.95292e-06	-2.51495e-06	-0.000300245	0.000312398	4.05426e-05	3.36477e-05	-0.00173471	-5.83166e-07	6.55159e-07	-1.76932e-05	9.02792e-07	2.31952e-06	-0.000199595	-0.000460919	-1.08364e-05	0.0012052	5.7865e-08	-9.36104e-08	1.74765e-06	4.02911e-06	-5.45692e-06	-1.21044e-05	3.01452e-05	-0.000273454	0.000878635	8.5491e-07	-8.00612e-07	7.9891e-06	-8.7975e-07	-2.327e-05	-2.9836e-05	2.68812e-05	-4.75197e-06	0.00174719
0.08	0.000573196	-3.97597e-07	3.35622e-07	-5.59035e-07	8.25499e-05	6.52046e-05	-8.95513e-06	3.48599e-06	-0.0004751	-9.95246e-07	0.00058188	-8.37136e-07	9.41955e-07	3.09386e-05	1.42403e-05	-1.17499e-05	-6.09643e-06	-0.000355647	-4.69673e-07	6.20163e-07	0.000582455	6.91191e-07	-1.32969e-06	-7.84518e-05	5.41612e-05	3.26486e-06	0.000969843	2.03987e-06	-5.90338e-07	1.96265e-06	0.00059299	-4.00837e-05	-2.7581e-05	1.32104e-05	-1.30595e-05	0.000210151	-5.099e-06	-8.50327e-07	-4.49097e-07	4.99085e-07	-0.000829912	3.26419e-05	-3.6192e-06	-4.98798e-06	-0.000110616	3.23473e-05	-2.56989e-06	2.23748e-06	-2.87549e-06	-0.00034233	0.000355923	4.65072e-05	3.85013e-05	-0.00191299	-6.63035e-07	7.5516e-07	-2.02533e-05	1.033e-06	3.15938e-06	-0.000227966	-0.000527467	-1.23115e-05	0.00132884	6.42374e-08	-1.08399e-07	2.17067e-06	4.70133e-06	-6.34236e-06	-1.36303e-05	3.3772e-05	-0.00031308	0.000968449	9.75207e-07	-9.13971e-07	9.1768e-06	-1.02205e-06	-2.62416e-05	-3.46658e-05	3.05282e-05	-5.4013e-06	0.00192679
0.09	0.000644788	-4.35534e-07	3.67738e-07	-6.28229e-07	9.27798e-05	7.35851e-05	-9.3681e-06	3.56888e-06	-0.00059676	-1.1159e-06	0.000654541	-9.40006e-07	1.04609e-06	3.41643e-05	1.56039e-05	-1.27931e-05	-6.37532e-06	-0.000447315	-5.375e-07	6.94139e-07	0.000655426	7.82701e-07	-1.07719e-06	-8.84157e-05	6.0595e-05	4.03659e-06	0.00121807	2.29512e-06	-6.65606e-07	2.19079e-06	0.000666986	-4.50038e-05	-3.10697e-05	1.49912e-05	-1.51365e-05	0.000264036	-5.75785e-06	-9.76569e-07	-5.17691e-07	5.5792e-07	-0.000933128	3.6684e-05	-4.34155e-06	-4.81899e-06	-0.000138598	3.65289e-05	-2.88631e-06	2.52752e-06	-3.23704e-06	-0.000383898	0.000398605	5.25454e-05	4.34223e-05	-0.00240289	-7.39723e-07	8.60028e-07	-2.28616e-05	1.16379e-06	4.42016e-06	-0.000256267	-0.000594506	-1.37476e-05	0.00166885	6.90458e-08	-1.24258e-07	2.75612e-06	5.45169e-06	-7.31107e-06	-1.4997e-05	3.69214e-05	-0.000353109	0.00121576	1.09266e-06	-1.02605e-06	1.04046e-05	-1.20927e-06	-2.89236e-05	-3.99172e-05	3.40082e-05	-6.03772e-06	0.00242026
