Voltage (V)	Frequency (MHz)
-0.8	5497.5827682234485
-0.7995000000000001	5497.674946408489
-0.799	5497.633159149318
-0.7985000000000001	5497.639519994303
-0.798	5497.612520787757
-0.7975000000000001	5497.439213188594
-0.797	5497.397250526146
-0.7965000000000001	5497.435051476939
-0.796	5497.341335700567
-0.7955000000000001	5497.374571345819
-0.795	5497.380707586265
-0.7945000000000001	5497.436828569897
-0.794	5497.493824760869
-0.7935000000000001	5497.296562528152
-0.793	5497.333259985259
-0.7925000000000001	5497.180470335335
-0.792	5497.142914820081
-0.7915000000000001	5497.060324481997
-0.791	5497.188383784058
-0.7905000000000001	5497.07073251702
-0.79	5497.14919591226
-0.7895000000000001	5497.141099657392
-0.789	5497.09176338116
-0.7885000000000001	5497.070495932366
-0.788	5497.132034605351
-0.7875000000000001	5497.090578962586
-0.787	5497.116692767813
-0.7865000000000001	5496.982338984371
-0.786	5497.046317339075
-0.7855000000000001	5497.000161073372
-0.785	5496.914729749578
-0.7845000000000001	5497.007562952221
-0.784	5496.8510506700895
-0.7835000000000001	5496.964487862043
-0.783	5496.841901446831
-0.7825000000000001	5496.814138781892
-0.782	5496.800100255695
-0.7815000000000001	5496.686598491072
-0.781	5496.745167982578
-0.7805000000000001	5496.685309568943
-0.78	5496.642572476748
-0.7795000000000001	5496.57004202227
-0.779	5496.652369524335
-0.7785000000000001	5496.449350190857
-0.778	5496.463446920383
-0.7775000000000001	5496.548638008327
-0.777	5496.467896020386
-0.7765000000000001	5496.503637947671
-0.776	5496.425855715891
-0.7755000000000001	5496.343441971089
-0.775	5496.349978950295
-0.7745000000000001	5496.359214407549
-0.774	5496.3859085873955
-0.7735000000000001	5496.293958875697
-0.773	5496.293943456126
-0.7725000000000001	5496.183208500486
-0.772	5496.14693851254
-0.7715000000000001	5496.084180413881
-0.771	5496.0279075191165
-0.7705000000000001	5496.044435579352
-0.77	5496.078646457454
-0.7695000000000001	5496.007732597951
-0.769	5495.999340685234
-0.7685000000000001	5495.822692420126
-0.768	5495.8398373108885
-0.7675000000000001	5495.776916656581
-0.767	5495.84748672505
-0.7665000000000001	5495.772386884065
-0.766	5495.677163213408
-0.7655000000000001	5495.733790252885
-0.765	5495.66894592283
-0.7645000000000001	5495.598698222929
-0.764	5495.566531815447
-0.7635000000000001	5495.470214393963
-0.763	5495.56805659181
-0.7625000000000001	5495.497016467708
-0.762	5495.41379616773
-0.7615000000000001	5495.4167029399505
-0.761	5495.376702216608
-0.7605000000000001	5495.401587158396
-0.76	5495.299895394276
-0.7595000000000001	5495.252741994708
-0.759	5495.369852960386
-0.7585000000000001	5495.210881398326
-0.758	5495.25052609759
-0.7575000000000001	5495.245178870881
-0.757	5495.099464242307
-0.7565000000000001	5495.165311609917
-0.756	5495.106189278533
-0.7555000000000001	5494.958076899638
-0.755	5494.9994764276
-0.7545000000000001	5494.982143124431
-0.754	5494.92554467955
-0.7535000000000001	5494.8260723125595
-0.753	5494.773528761615
-0.7525000000000001	5494.699752480991
-0.752	5494.744901941552
-0.7515000000000001	5494.679683763386
-0.751	5494.757423415668
-0.7505000000000001	5494.610043902407
-0.75	5494.464197818171
-0.7495	5494.539937115245
-0.749	5494.362696189413
-0.7485	5494.332082679216
-0.748	5494.405854489959
-0.7475	5494.4071597928705
-0.747	5494.308283460674
-0.7465	5494.18038110315
-0.746	5494.160869353074
-0.7455	5494.07356061485
-0.745	5494.143459617152
-0.7445	5494.013727289954
-0.744	5493.926993681544
-0.7435	5493.914278636788
-0.743	5493.856212031745
-0.7425	5493.813668744285
-0.742	5493.702408612204
-0.7415	5493.772146118885
-0.741	5493.749143036728
-0.7405	5493.595234877464
-0.74	5493.627162309302
-0.7395	5493.471311342611
-0.739	5493.392947720449
-0.7385	5493.374901957821
-0.738	5493.367389514434
-0.7375	5493.1581209658025
-0.737	5493.101148051165
-0.7365	5493.047578222274
-0.736	5493.014253287969
-0.7355	5492.730268508196
-0.735	5492.571082617946
-0.7345	5492.576892728893
-0.734	5492.507624556989
-0.7335	5492.495858824622
-0.733	5492.297349860759
-0.7325	5492.485029465218
-0.732	5492.390139144107
-0.7315	5492.496351224996
-0.731	5492.350532782856
-0.7305	5492.339024256807
-0.73	5492.2982238234
-0.7295	5492.219359806349
-0.729	5492.168275835559
-0.7285	5492.308586851393
-0.728	5492.136212834154
-0.7275	5492.101025139242
-0.727	5491.955839964088
-0.7265	5491.872815482805
-0.726	5491.785585587249
-0.7255	5491.728940835713
-0.725	5491.78573391348
-0.7245	5491.667428280198
-0.724	5491.652813940224
-0.7235	5491.605486995771
-0.723	5491.418368535676
-0.7225	5491.483256588403
-0.722	5491.362245462248
-0.7215	5491.130517871409
-0.721	5491.127365986477
-0.7205	5491.02228412923
-0.72	5490.915864351604
-0.7195	5490.927391712979
-0.719	5490.787475556336
-0.7185	5490.746548576516
-0.718	5490.741910182138
-0.7175	5490.667005415315
-0.717	5490.474748187474
-0.7165	5490.525418456705
-0.716	5490.625764943327
