Coupler Frequency (GHz),Coupling Strength (MHz)
6.0,-23.015680989949256
6.05,-21.331528567198312
6.1,-19.8489402432875
6.15,-18.382225951587216
6.2,-16.96485799445529
6.25,-15.796751321809205
6.3,-14.731460258979743
6.35,-13.844819567018193
6.4,-12.944605605743906
6.45,-11.978554124011454
6.5,-11.136061570626646
6.55,-11.412211874824584
6.6,-9.828777654136445
6.65,-9.220943425301906
6.7,-8.504790513598929
6.75,-7.89645361416259
6.8,-7.857722685834978
6.85,-6.956288941904479
6.9,-6.492452040579093
6.95,-5.924198344318989
7.0,-5.549858053584992
