Frequency (GHz)	Im(Y(1,1)) : transmon_coupling qq leg	Im(Y(1,2)) : transmon_coupling qq leg	Im(Y(2,2)) : transmon_coupling qq leg
0.01	6.66071e-06	-3.5855e-08	6.65647e-06
0.02	1.33227e-05	-7.1779e-08	1.33144e-05
0.03	1.99848e-05	-1.07652e-07	1.99724e-05
0.04	2.66469e-05	-1.4345e-07	2.66304e-05
0.05	3.33091e-05	-1.79147e-07	3.32886e-05
0.06	3.99714e-05	-2.14719e-07	3.99468e-05
0.07	4.66339e-05	-2.50142e-07	4.66052e-05
0.08	5.32966e-05	-2.85389e-07	5.32637e-05
0.09	5.99594e-05	-3.20435e-07	5.99225e-05
0.1	6.66225e-05	-3.55254e-07	6.65814e-05
0.11	7.32859e-05	-3.8982e-07	7.32406e-05
0.12	7.99496e-05	-4.24104e-07	7.99001e-05
0.13	8.66136e-05	-4.5808e-07	8.65599e-05
0.14	9.3278e-05	-4.91719e-07	9.32201e-05
0.15	9.99427e-05	-5.24992e-07	9.98806e-05
0.16	0.000106608	-5.5787e-07	0.000106542
0.17	0.000113274	-5.9032e-07	0.000113203
0.18	0.00011994	-6.22313e-07	0.000119865
0.19	0.000126606	-6.53815e-07	0.000126527
0.2	0.000133274	-6.84792e-07	0.00013319
0.21	0.000139942	-7.1521e-07	0.000139854
0.22	0.00014661	-7.45032e-07	0.000146518
0.23	0.000153279	-7.7422e-07	0.000153182
0.24	0.000159949	-8.02736e-07	0.000159848
0.25	0.00016662	-8.30538e-07	0.000166514
0.26	0.000173292	-8.57583e-07	0.000173181
0.27	0.000179964	-8.83828e-07	0.000179849
0.28	0.000186638	-9.09225e-07	0.000186518
0.29	0.000193312	-9.33726e-07	0.000193188
0.3	0.000199988	-9.5728e-07	0.000199858
0.31	0.000206664	-9.79832e-07	0.00020653
0.32	0.000213342	-1.00133e-06	0.000213203
0.33	0.000220021	-1.0217e-06	0.000219877
0.34	0.000226701	-1.0409e-06	0.000226552
0.35	0.000233383	-1.05884e-06	0.000233229
0.36	0.000240066	-1.07548e-06	0.000239906
0.37	0.00024675	-1.09071e-06	0.000246586
0.38	0.000253437	-1.10448e-06	0.000253267
0.39	0.000260124	-1.11669e-06	0.000259949
0.4	0.000266814	-1.12726e-06	0.000266633
0.41	0.000273506	-1.13609e-06	0.000273319
0.42	0.000280199	-1.14308e-06	0.000280007
0.43	0.000286895	-1.14811e-06	0.000286697
0.44	0.000293593	-1.15109e-06	0.000293389
0.45	0.000300293	-1.15187e-06	0.000300084
0.46	0.000306996	-1.15033e-06	0.00030678
0.47	0.000313701	-1.14633e-06	0.00031348
0.48	0.00032041	-1.13971e-06	0.000320182
0.49	0.000327121	-1.13031e-06	0.000326886
0.5	0.000333835	-1.11794e-06	0.000333594
0.51	0.000340553	-1.10242e-06	0.000340305
0.52	0.000347275	-1.08354e-06	0.00034702
0.53	0.000354	-1.06106e-06	0.000353738
0.54	0.000360729	-1.03474e-06	0.00036046
0.55	0.000367463	-1.00432e-06	0.000367186
0.56	0.000374201	-9.69495e-07	0.000373916
0.57	0.000380945	-9.2995e-07	0.000380652
0.58	0.000387694	-8.85331e-07	0.000387392
0.59	0.000394448	-8.35255e-07	0.000394138
0.6	0.000401209	-7.79295e-07	0.00040089
0.61	0.000407976	-7.16982e-07	0.000407648
0.62	0.000414751	-6.47798e-07	0.000414413
0.63	0.000421534	-5.71167e-07	0.000421186
0.64	0.000428325	-4.86448e-07	0.000427966
0.65	0.000435125	-3.92927e-07	0.000434756
0.66	0.000441935	-2.89803e-07	0.000441555
0.67	0.000448756	-1.76177e-07	0.000448364
0.68	0.00045559	-5.10365e-08	0.000455185
0.69	0.000462436	8.6766e-08	0.000462018
0.7	0.000469297	2.38533e-07	0.000468865
0.71	0.000476174	4.05749e-07	0.000475728
0.72	0.000483069	5.90118e-07	0.000482607
0.73	0.000489984	7.936e-07	0.000489505
0.74	0.000496921	1.01846e-06	0.000496425
0.75	0.000503882	1.26735e-06	0.000503367
0.76	0.000510872	1.54336e-06	0.000510337
0.77	0.000517894	1.85013e-06	0.000517337
0.78	0.000524952	2.192e-06	0.000524371
0.79	0.000532051	2.57414e-06	0.000531445
0.8	0.000539198	3.0028e-06	0.000538564
0.81	0.000546401	3.48559e-06	0.000545736
0.82	0.00055367	4.03186e-06	0.000552971
0.83	0.000561016	4.65327e-06	0.000560279
0.84	0.000568454	5.36449e-06	0.000567675
0.85	0.000576004	6.18429e-06	0.000575177
0.86	0.000583691	7.13703e-06	0.000582808
0.87	0.000591547	8.25498e-06	0.000590601
0.88	0.000599618	9.58175e-06	0.000598598
0.89	0.000607965	1.11777e-05	0.000606858
0.9	0.000616678	1.31292e-05	0.000615464
0.91	0.000625886	1.55635e-05	0.000624541
0.92	0.000635791	1.86773e-05	0.000634281
0.93	0.000646722	2.27906e-05	0.000644995
0.94	0.000659252	2.84619e-05	0.000657228
0.95	0.000674477	3.67606e-05	0.000672023
0.96	0.000694799	5.00262e-05	0.000691659
0.97	0.000726667	7.45463e-05	0.000722266
0.98	0.000795371	0.000134971	0.000787869
0.99	0.00119976	0.000522596	0.0011724
1	0.000341939	-0.000320088	0.000357726
1.01	0.000544649	-0.000129045	0.000550648
1.02	0.000598273	-8.33213e-05	0.000601924
1.03	0.000626013	-6.28264e-05	0.000628609
1.04	0.000644641	-5.12144e-05	0.000646636
1.05	0.000659011	-4.37522e-05	0.000660619
1.06	0.000671051	-3.85621e-05	0.000672387
1.07	0.000681677	-3.47509e-05	0.000682811
1.08	0.00069138	-3.18392e-05	0.000692359
1.09	0.000700448	-2.95467e-05	0.000701304
1.1	0.000709061	-2.76989e-05	0.000709815
1.11	0.000717335	-2.61809e-05	0.000718006
