Frequency (GHz)	Im(Y(1,1)) : qubit_coupler_qubit_system	Im(Y(1,2)) : qubit_coupler_qubit_system	Im(Y(1,3)) : qubit_coupler_qubit_system	Im(Y(2,2)) : qubit_coupler_qubit_system	Im(Y(2,3)) : qubit_coupler_qubit_system	Im(Y(3,3)) : qubit_coupler_qubit_system
0.01	6.6607e-06	-3.5859e-08	-5.03152e-07	6.65647e-06	-4.90388e-07	6.20194e-06
0.02	1.33227e-05	-7.18112e-08	-1.00607e-06	1.33144e-05	-9.80865e-07	1.24041e-05
0.03	1.99847e-05	-1.07761e-07	-1.50898e-06	1.99723e-05	-1.47134e-06	1.86062e-05
0.04	2.66466e-05	-1.43708e-07	-2.01191e-06	2.66302e-05	-1.96182e-06	2.48084e-05
0.05	3.33086e-05	-1.79651e-07	-2.51484e-06	3.32881e-05	-2.45229e-06	3.10105e-05
0.06	3.99705e-05	-2.15592e-07	-3.01778e-06	3.9946e-05	-2.94276e-06	3.72127e-05
0.07	4.66325e-05	-2.5153e-07	-3.52072e-06	4.66038e-05	-3.43323e-06	4.34148e-05
0.08	5.32944e-05	-2.87464e-07	-4.02367e-06	5.32617e-05	-3.92371e-06	4.9617e-05
0.09	5.99564e-05	-3.23394e-07	-4.52662e-06	5.99196e-05	-4.41418e-06	5.58191e-05
0.1	6.66184e-05	-3.59321e-07	-5.02958e-06	6.65775e-05	-4.90465e-06	6.20213e-05
0.11	7.32804e-05	-3.95245e-07	-5.53255e-06	7.32353e-05	-5.39512e-06	6.82235e-05
0.12	7.99424e-05	-4.31164e-07	-6.03553e-06	7.98932e-05	-5.88559e-06	7.44257e-05
0.13	8.66044e-05	-4.67079e-07	-6.53851e-06	8.65512e-05	-6.37606e-06	8.06279e-05
0.14	9.32664e-05	-5.02991e-07	-7.04149e-06	9.32091e-05	-6.86653e-06	8.68301e-05
0.15	9.99285e-05	-5.38897e-07	-7.54449e-06	9.98671e-05	-7.35699e-06	9.30323e-05
0.16	0.000106591	-5.748e-07	-8.04749e-06	0.000106525	-7.84746e-06	9.92346e-05
0.17	0.000113253	-6.10698e-07	-8.5505e-06	0.000113183	-8.33793e-06	0.000105437
0.18	0.000119915	-6.46591e-07	-9.05351e-06	0.000119841	-8.8284e-06	0.000111639
0.19	0.000126577	-6.82479e-07	-9.55653e-06	0.000126499	-9.31887e-06	0.000117841
0.2	0.000133239	-7.18363e-07	-1.00596e-05	0.000133157	-9.80934e-06	0.000124044
0.21	0.000139902	-7.54241e-07	-1.05626e-05	0.000139816	-1.02998e-05	0.000130246
0.22	0.000146564	-7.90114e-07	-1.10656e-05	0.000146474	-1.07903e-05	0.000136449
0.23	0.000153226	-8.25982e-07	-1.15687e-05	0.000153132	-1.12808e-05	0.000142651
0.24	0.000159889	-8.61844e-07	-1.20717e-05	0.00015979	-1.17712e-05	0.000148853
0.25	0.000166551	-8.97701e-07	-1.25748e-05	0.000166449	-1.22617e-05	0.000155056
0.26	0.000173214	-9.33552e-07	-1.30779e-05	0.000173107	-1.27522e-05	0.000161259
0.27	0.000179877	-9.69398e-07	-1.3581e-05	0.000179766	-1.32427e-05	0.000167461
0.28	0.000186539	-1.00524e-06	-1.40841e-05	0.000186424	-1.37331e-05	0.000173664
0.29	0.000193202	-1.04107e-06	-1.45872e-05	0.000193083	-1.42236e-05	0.000179866
0.3	0.000199865	-1.0769e-06	-1.50903e-05	0.000199742	-1.47141e-05	0.000186069
0.31	0.000206528	-1.11272e-06	-1.55934e-05	0.0002064	-1.52046e-05	0.000192272
0.32	0.000213191	-1.14853e-06	-1.60965e-05	0.000213059	-1.56951e-05	0.000198475
0.33	0.000219854	-1.18434e-06	-1.65996e-05	0.000219718	-1.61855e-05	0.000204678
0.34	0.000226517	-1.22014e-06	-1.71028e-05	0.000226377	-1.6676e-05	0.000210881
0.35	0.000233181	-1.25594e-06	-1.76059e-05	0.000233036	-1.71665e-05	0.000217084
0.36	0.000239844	-1.29172e-06	-1.81091e-05	0.000239696	-1.7657e-05	0.000223287
0.37	0.000246508	-1.3275e-06	-1.86122e-05	0.000246355	-1.81475e-05	0.00022949
0.38	0.000253171	-1.36328e-06	-1.91154e-05	0.000253014	-1.8638e-05	0.000235693
0.39	0.000259835	-1.39904e-06	-1.96186e-05	0.000259674	-1.91285e-05	0.000241896
0.4	0.000266499	-1.4348e-06	-2.01217e-05	0.000266334	-1.9619e-05	0.000248099
0.41	0.000273163	-1.47055e-06	-2.06249e-05	0.000272993	-2.01095e-05	0.000254303
0.42	0.000279827	-1.50629e-06	-2.11281e-05	0.000279653	-2.06e-05	0.000260506
0.43	0.000286491	-1.54203e-06	-2.16314e-05	0.000286313	-2.10905e-05	0.00026671
0.44	0.000293155	-1.57776e-06	-2.21346e-05	0.000292973	-2.1581e-05	0.000272913
0.45	0.00029982	-1.61348e-06	-2.26378e-05	0.000299634	-2.20715e-05	0.000279117
0.46	0.000306484	-1.64919e-06	-2.3141e-05	0.000306294	-2.25621e-05	0.000285321
0.47	0.000313149	-1.68489e-06	-2.36443e-05	0.000312955	-2.30526e-05	0.000291524
