Frequency (GHz)	Im(Y(1,1)) : transmon_coupling qq leg	Im(Y(1,2)) : transmon_coupling qq leg	Im(Y(2,2)) : transmon_coupling qq leg
0.01	6.6607e-06	-3.5859e-08	6.65647e-06
0.02	1.33227e-05	-7.18112e-08	1.33144e-05
0.03	1.99847e-05	-1.07761e-07	1.99723e-05
0.04	2.66466e-05	-1.43708e-07	2.66302e-05
0.05	3.33086e-05	-1.79651e-07	3.32881e-05
0.06	3.99705e-05	-2.15592e-07	3.9946e-05
0.07	4.66325e-05	-2.5153e-07	4.66038e-05
0.08	5.32944e-05	-2.87464e-07	5.32617e-05
0.09	5.99564e-05	-3.23394e-07	5.99196e-05
0.1	6.66184e-05	-3.59321e-07	6.65775e-05
0.11	7.32804e-05	-3.95245e-07	7.32353e-05
0.12	7.99424e-05	-4.31164e-07	7.98932e-05
0.13	8.66044e-05	-4.67079e-07	8.65512e-05
0.14	9.32664e-05	-5.02991e-07	9.32091e-05
0.15	9.99285e-05	-5.38897e-07	9.98671e-05
0.16	0.000106591	-5.748e-07	0.000106525
0.17	0.000113253	-6.10698e-07	0.000113183
0.18	0.000119915	-6.46591e-07	0.000119841
0.19	0.000126577	-6.82479e-07	0.000126499
0.2	0.000133239	-7.18363e-07	0.000133157
0.21	0.000139902	-7.54241e-07	0.000139816
0.22	0.000146564	-7.90114e-07	0.000146474
0.23	0.000153226	-8.25982e-07	0.000153132
0.24	0.000159889	-8.61844e-07	0.00015979
0.25	0.000166551	-8.97701e-07	0.000166449
0.26	0.000173214	-9.33552e-07	0.000173107
0.27	0.000179877	-9.69398e-07	0.000179766
0.28	0.000186539	-1.00524e-06	0.000186424
0.29	0.000193202	-1.04107e-06	0.000193083
0.3	0.000199865	-1.0769e-06	0.000199742
0.31	0.000206528	-1.11272e-06	0.0002064
0.32	0.000213191	-1.14853e-06	0.000213059
0.33	0.000219854	-1.18434e-06	0.000219718
0.34	0.000226517	-1.22014e-06	0.000226377
0.35	0.000233181	-1.25594e-06	0.000233036
0.36	0.000239844	-1.29172e-06	0.000239696
0.37	0.000246508	-1.3275e-06	0.000246355
0.38	0.000253171	-1.36328e-06	0.000253014
